phi_apex_deg,phi_horiz_deg,thickness_m,density_kgm3,N_phi_MNpm,N_theta_MNpm,sigma_theta_kPa,sigma_eff_kPa,ft_ref_kPa
11.6538,78.3462,1.2,1350,-0.176695,-0.165843,-138.203,43.7973,80
12.0455,77.9545,1.2235,1600,-0.213669,-0.199659,-163.187,18.813,80
12.4372,77.5628,1.247,1600,-0.217933,-0.20271,-162.558,19.4418,80
12.829,77.171,1.2705,1600,-0.222208,-0.205706,-161.909,20.0907,80
13.2207,76.7793,1.294,1600,-0.226495,-0.208645,-161.24,20.7595,80
13.6124,76.3876,1.3175,1600,-0.230794,-0.211527,-160.552,21.4483,80
14.0042,75.9958,1.341,1600,-0.235105,-0.214349,-159.843,22.1571,80
14.3959,75.6041,1.3645,1600,-0.239429,-0.217111,-159.114,22.8858,80
14.7876,75.2124,1.388,1600,-0.243766,-0.219811,-158.366,23.6344,80
15.1794,74.8206,1.4115,1600,-0.248116,-0.222448,-157.597,24.403,80
15.5711,74.4289,1.435,1600,-0.25248,-0.22502,-156.809,25.1915,80
15.9628,74.0372,1.4585,1600,-0.256857,-0.227526,-156,25.9999,80
16.3546,73.6454,1.482,1600,-0.261249,-0.229965,-155.172,26.8281,80
16.7463,73.2537,1.5055,1600,-0.265656,-0.232334,-154.324,27.6762,80
17.138,72.862,1.529,1600,-0.270078,-0.234634,-153.456,28.5442,80
17.5297,72.4703,1.5525,1600,-0.274514,-0.236862,-152.568,29.4321,80
17.9215,72.0785,1.576,1600,-0.278967,-0.239017,-151.66,30.3397,80
18.3132,71.6868,1.5995,1600,-0.283436,-0.241097,-150.733,31.2672,80
18.7049,71.2951,1.623,1600,-0.28792,-0.243102,-149.786,32.2144,80
19.0967,70.9033,1.6465,1600,-0.292422,-0.24503,-148.819,33.1815,80
19.4884,70.5116,1.67,1600,-0.29694,-0.246879,-147.832,34.1682,80
19.8801,70.1199,1.6935,1600,-0.301476,-0.248648,-146.825,35.1748,80
20.2719,69.7281,1.717,1600,-0.30603,-0.250337,-145.799,36.2011,80
20.6636,69.3364,1.7405,1600,-0.310602,-0.251943,-144.753,37.247,80
21.0553,68.9447,1.764,1600,-0.315192,-0.253464,-143.687,38.3127,80
21.4471,68.5529,1.7875,1600,-0.319801,-0.254901,-142.602,39.3981,80
21.8388,68.1612,1.811,1600,-0.324429,-0.256251,-141.497,40.5031,80
22.2305,67.7695,1.8345,1600,-0.329076,-0.257513,-140.372,41.6277,80
22.6222,67.3778,1.858,1600,-0.333744,-0.258686,-139.228,42.772,80
23.014,66.986,1.8815,1600,-0.338432,-0.259768,-138.064,43.9359,80
23.4057,66.5943,1.905,1600,-0.34314,-0.260758,-136.881,45.1194,80
23.7974,66.2026,1.9285,1600,-0.34787,-0.261654,-135.678,46.3224,80
24.1892,65.8108,1.952,1600,-0.352621,-0.262456,-134.455,47.545,80
24.5809,65.4191,1.9755,1600,-0.357393,-0.263162,-133.213,48.7871,80
24.9726,65.0274,1.999,1600,-0.362188,-0.26377,-131.951,50.0488,80
25.3644,64.6356,2.0225,1800,-0.412882,-0.297315,-147.004,34.9962,80
25.7561,64.2439,2.046,1800,-0.418327,-0.297776,-145.541,36.4593,80
26.1478,63.8522,2.0695,1800,-0.423799,-0.298123,-144.056,37.9444,80
26.5396,63.4604,2.093,1800,-0.429298,-0.298354,-142.549,39.4514,80
26.9313,63.0687,2.1165,1800,-0.434824,-0.298468,-141.02,40.9802,80
27.323,62.677,2.14,1800,-0.440378,-0.298464,-139.469,42.5308,80
27.7148,62.2852,2.1635,1800,-0.44596,-0.29834,-137.897,44.1032,80
28.1065,61.8935,2.187,1800,-0.45157,-0.298094,-136.303,45.6974,80
28.4982,61.5018,2.2105,1800,-0.45721,-0.297725,-134.687,47.3133,80
28.8899,61.1101,2.234,1800,-0.462879,-0.297231,-133.049,48.951,80
29.2817,60.7183,2.2575,1800,-0.468579,-0.296612,-131.39,50.6104,80
29.6734,60.3266,2.281,1800,-0.474309,-0.295865,-129.708,52.2915,80
30.0651,59.9349,2.3045,1800,-0.48007,-0.294989,-128.006,53.9943,80
30.4569,59.5431,2.328,1800,-0.485863,-0.293983,-126.281,55.7186,80
30.8486,59.1514,2.3515,1800,-0.491688,-0.292845,-124.535,57.4647,80
31.2403,58.7597,2.375,1800,-0.497546,-0.291573,-122.768,59.2323,80
31.6321,58.3679,2.3985,1800,-0.503436,-0.290167,-120.979,61.0215,80
32.0238,57.9762,2.422,1800,-0.509361,-0.288624,-119.168,62.8322,80
32.4155,57.5845,2.4455,1800,-0.51532,-0.286944,-117.336,64.6645,80
32.8073,57.1927,2.469,1800,-0.521313,-0.285124,-115.482,66.5183,80
33.199,56.801,2.4925,1800,-0.527342,-0.283164,-113.606,68.3935,80
33.5907,56.4093,2.516,1800,-0.533407,-0.281062,-111.71,70.2903,80
33.9825,56.0175,2.5395,1800,-0.539508,-0.278816,-109.792,72.2084,80
34.3742,55.6258,2.563,1800,-0.545646,-0.276425,-107.852,74.148,80
34.7659,55.2341,2.5865,1800,-0.551822,-0.273887,-105.891,76.109,80
35.1576,54.8424,2.61,1800,-0.558036,-0.271201,-103.909,78.0914,80
35.5494,54.4506,2.6335,1800,-0.564289,-0.268367,-101.905,80.0951,80
35.9411,54.0589,2.657,1800,-0.570581,-0.265381,-99.8799,82.1201,80
36.3328,53.6672,2.6805,1800,-0.576913,-0.262243,-97.8335,84.1665,80
36.7246,53.2754,2.704,1800,-0.583285,-0.258951,-95.7658,86.2342,80
